motivo,prioridad
deformidad en región lumbar con limitación severa,3
consulta administrativa para actividad deportiva,1
evaluación postural para documentación escolar,1
consulta administrativa para actividad deportiva,1
dolor agudo en región torácico con signos inflamatorios,3
sangrado activo en región abdominal con limitación severa,3
Valoración de crónico en tobillo sin complicaciones,2
deformidad en región abdominal con signos inflamatorios,3
evaluación postural para actividad deportiva,1
Monitoreo de consolidado en tobillo en fase de recuperación,2
sangrado activo en región miembro inferior con imposibilidad funcional,3
dolor agudo en región lumbar con limitación severa,3
certificado médico para documentación escolar,1
edema persistente en región abdominal con limitación severa,3
Valoración de crónico en hombro sin complicaciones,2
sangrado activo en región miembro inferior con imposibilidad funcional,3
dolor agudo en región torácico con signos inflamatorios,3
sangrado activo en región torácico con limitación severa,3
dolor agudo en región miembro inferior con imposibilidad funcional,3
renovación de receta para documentación escolar,1
Valoración de crónico en hombro en fase de recuperación,2
consulta administrativa para aptitud laboral,1
consulta administrativa para actividad deportiva,1
Seguimiento de post-traumático en tobillo sin complicaciones,2
edema persistente en región lumbar con limitación severa,3
dolor agudo en región torácico con signos inflamatorios,3
evaluación postural para documentación escolar,1
renovación de receta para aptitud laboral,1
edema persistente en región abdominal con imposibilidad funcional,3
certificado médico para documentación escolar,1
sangrado activo en región torácico con imposibilidad funcional,3
renovación de receta para aptitud laboral,1
Valoración de crónico en rodilla en fase de recuperación,2
Control de post-traumático en columna en fase de recuperación,2
Control de post-traumático en rodilla sin complicaciones,2
consulta administrativa para actividad deportiva,1
certificado médico para actividad deportiva,1
renovación de receta para documentación escolar,1
Seguimiento de post-traumático en hombro en fase de recuperación,2
Control de post-traumático en cadera en fase de recuperación,2
certificado médico para documentación escolar,1
deformidad en región torácico con imposibilidad funcional,3
Seguimiento de consolidado en hombro sin complicaciones,2
dolor agudo en región lumbar con signos inflamatorios,3
renovación de receta para aptitud laboral,1
evaluación postural para documentación escolar,1
Monitoreo de programado en columna en fase de recuperación,2
dolor agudo en región miembro inferior con imposibilidad funcional,3
sangrado activo en región torácico con signos inflamatorios,3
deformidad en región torácico con imposibilidad funcional,3
renovación de receta para documentación escolar,1
deformidad en región abdominal con imposibilidad funcional,3
sangrado activo en región torácico con limitación severa,3
dolor agudo en región lumbar con limitación severa,3
Revisión de postoperatorio en rodilla sin complicaciones,2
certificado médico para actividad deportiva,1
Valoración de consolidado en rodilla sin complicaciones,2
consulta administrativa para actividad deportiva,1
Seguimiento de programado en rodilla en fase de recuperación,2
renovación de receta para aptitud laboral,1
sangrado activo en región miembro inferior con imposibilidad funcional,3
sangrado activo en región torácico con limitación severa,3
Seguimiento de post-traumático en tobillo en fase de recuperación,2
certificado médico para actividad deportiva,1
deformidad en región torácico con limitación severa,3
certificado médico para actividad deportiva,1
consulta administrativa para documentación escolar,1
Monitoreo de crónico en tobillo en fase de recuperación,2
sangrado activo en región torácico con signos inflamatorios,3
Control de postoperatorio en columna en fase de recuperación,2
certificado médico para actividad deportiva,1
dolor agudo en región abdominal con signos inflamatorios,3
Monitoreo de post-traumático en tobillo en fase de recuperación,2
Revisión de crónico en rodilla en fase de recuperación,2
dolor agudo en región abdominal con limitación severa,3
Seguimiento de programado en cadera en fase de recuperación,2
Control de postoperatorio en rodilla sin complicaciones,2
evaluación postural para documentación escolar,1
Seguimiento de post-traumático en rodilla en fase de recuperación,2
consulta administrativa para documentación escolar,1
Control de post-traumático en cadera sin complicaciones,2
dolor agudo en región torácico con imposibilidad funcional,3
Revisión de consolidado en rodilla sin complicaciones,2
certificado médico para actividad deportiva,1
Revisión de consolidado en cadera sin complicaciones,2
certificado médico para aptitud laboral,1
renovación de receta para actividad deportiva,1
Monitoreo de crónico en cadera sin complicaciones,2
consulta administrativa para documentación escolar,1
sangrado activo en región abdominal con imposibilidad funcional,3
Revisión de postoperatorio en rodilla sin complicaciones,2
consulta administrativa para aptitud laboral,1
Control de crónico en tobillo sin complicaciones,2
deformidad en región abdominal con imposibilidad funcional,3
evaluación postural para actividad deportiva,1
evaluación postural para documentación escolar,1
Monitoreo de consolidado en tobillo en fase de recuperación,2
Control de consolidado en cadera en fase de recuperación,2
Monitoreo de crónico en rodilla sin complicaciones,2
deformidad en región lumbar con limitación severa,3
renovación de receta para aptitud laboral,1
sangrado activo en región miembro inferior con limitación severa,3
certificado médico para aptitud laboral,1
consulta administrativa para aptitud laboral,1
Control de consolidado en rodilla en fase de recuperación,2
Monitoreo de postoperatorio en rodilla sin complicaciones,2
sangrado activo en región lumbar con limitación severa,3
edema persistente en región miembro inferior con signos inflamatorios,3
Monitoreo de postoperatorio en cadera en fase de recuperación,2
dolor agudo en región lumbar con signos inflamatorios,3
Monitoreo de consolidado en columna sin complicaciones,2
Control de post-traumático en rodilla en fase de recuperación,2
deformidad en región miembro inferior con imposibilidad funcional,3
deformidad en región miembro inferior con signos inflamatorios,3
evaluación postural para documentación escolar,1
certificado médico para documentación escolar,1
dolor agudo en región miembro inferior con imposibilidad funcional,3
Seguimiento de consolidado en rodilla en fase de recuperación,2
renovación de receta para documentación escolar,1
renovación de receta para aptitud laboral,1
Revisión de programado en hombro en fase de recuperación,2
Control de crónico en columna sin complicaciones,2
Revisión de postoperatorio en columna sin complicaciones,2
Seguimiento de postoperatorio en rodilla sin complicaciones,2
Valoración de consolidado en cadera en fase de recuperación,2
edema persistente en región lumbar con limitación severa,3
dolor agudo en región lumbar con signos inflamatorios,3
Seguimiento de consolidado en columna sin complicaciones,2
consulta administrativa para aptitud laboral,1
edema persistente en región lumbar con signos inflamatorios,3
sangrado activo en región lumbar con imposibilidad funcional,3
certificado médico para aptitud laboral,1
evaluación postural para documentación escolar,1
renovación de receta para actividad deportiva,1
Revisión de post-traumático en cadera sin complicaciones,2
consulta administrativa para actividad deportiva,1
Valoración de postoperatorio en rodilla en fase de recuperación,2
Control de post-traumático en tobillo en fase de recuperación,2
dolor agudo en región miembro inferior con limitación severa,3
Seguimiento de postoperatorio en columna sin complicaciones,2
renovación de receta para actividad deportiva,1
deformidad en región abdominal con imposibilidad funcional,3
Valoración de crónico en hombro en fase de recuperación,2
Monitoreo de post-traumático en columna en fase de recuperación,2
Seguimiento de crónico en hombro en fase de recuperación,2
Control de crónico en rodilla en fase de recuperación,2
sangrado activo en región lumbar con limitación severa,3
Revisión de post-traumático en rodilla en fase de recuperación,2
Seguimiento de programado en rodilla en fase de recuperación,2
Control de programado en columna en fase de recuperación,2
Control de consolidado en hombro sin complicaciones,2
sangrado activo en región abdominal con signos inflamatorios,3
Seguimiento de consolidado en tobillo en fase de recuperación,2
consulta administrativa para aptitud laboral,1
evaluación postural para aptitud laboral,1
deformidad en región lumbar con signos inflamatorios,3
dolor agudo en región torácico con signos inflamatorios,3
consulta administrativa para actividad deportiva,1
Monitoreo de crónico en tobillo sin complicaciones,2
evaluación postural para actividad deportiva,1
Monitoreo de post-traumático en tobillo en fase de recuperación,2
certificado médico para aptitud laboral,1
evaluación postural para documentación escolar,1
dolor agudo en región torácico con signos inflamatorios,3
renovación de receta para documentación escolar,1
deformidad en región abdominal con signos inflamatorios,3
Control de postoperatorio en rodilla sin complicaciones,2
certificado médico para documentación escolar,1
certificado médico para aptitud laboral,1
certificado médico para actividad deportiva,1
Seguimiento de programado en cadera en fase de recuperación,2
Control de crónico en tobillo en fase de recuperación,2
Valoración de post-traumático en tobillo en fase de recuperación,2
renovación de receta para aptitud laboral,1
Control de programado en tobillo sin complicaciones,2
renovación de receta para documentación escolar,1
Seguimiento de post-traumático en hombro en fase de recuperación,2
certificado médico para documentación escolar,1
evaluación postural para aptitud laboral,1
deformidad en región miembro inferior con limitación severa,3
sangrado activo en región lumbar con limitación severa,3
Valoración de consolidado en cadera en fase de recuperación,2
Revisión de consolidado en rodilla en fase de recuperación,2
Valoración de crónico en cadera sin complicaciones,2
Revisión de programado en cadera sin complicaciones,2
evaluación postural para actividad deportiva,1
dolor agudo en región lumbar con signos inflamatorios,3
Valoración de crónico en rodilla en fase de recuperación,2
renovación de receta para actividad deportiva,1
deformidad en región lumbar con limitación severa,3
evaluación postural para documentación escolar,1
edema persistente en región miembro inferior con imposibilidad funcional,3
renovación de receta para actividad deportiva,1
Valoración de crónico en rodilla sin complicaciones,2
Control de consolidado en columna sin complicaciones,2
consulta administrativa para documentación escolar,1
renovación de receta para aptitud laboral,1
deformidad en región lumbar con signos inflamatorios,3
consulta administrativa para aptitud laboral,1
Valoración de programado en columna sin complicaciones,2
consulta administrativa para actividad deportiva,1
renovación de receta para documentación escolar,1
consulta administrativa para documentación escolar,1
dolor agudo en región lumbar con imposibilidad funcional,3
edema persistente en región miembro inferior con imposibilidad funcional,3
Valoración de consolidado en hombro en fase de recuperación,2
renovación de receta para documentación escolar,1
deformidad en región lumbar con signos inflamatorios,3
Control de programado en cadera en fase de recuperación,2
deformidad en región lumbar con imposibilidad funcional,3
dolor agudo en región lumbar con imposibilidad funcional,3
edema persistente en región abdominal con limitación severa,3
deformidad en región lumbar con limitación severa,3
renovación de receta para aptitud laboral,1
renovación de receta para documentación escolar,1
Control de post-traumático en tobillo sin complicaciones,2
deformidad en región miembro inferior con imposibilidad funcional,3
Revisión de postoperatorio en tobillo en fase de recuperación,2
Monitoreo de postoperatorio en tobillo en fase de recuperación,2
Valoración de postoperatorio en rodilla sin complicaciones,2
Seguimiento de programado en tobillo en fase de recuperación,2
Valoración de consolidado en tobillo en fase de recuperación,2
Control de post-traumático en cadera sin complicaciones,2
renovación de receta para documentación escolar,1
evaluación postural para documentación escolar,1
Revisión de postoperatorio en cadera sin complicaciones,2
Valoración de post-traumático en hombro en fase de recuperación,2
evaluación postural para aptitud laboral,1
edema persistente en región lumbar con limitación severa,3
certificado médico para aptitud laboral,1
evaluación postural para documentación escolar,1
renovación de receta para aptitud laboral,1
certificado médico para actividad deportiva,1
Monitoreo de programado en tobillo sin complicaciones,2
renovación de receta para actividad deportiva,1
Revisión de post-traumático en hombro sin complicaciones,2
certificado médico para documentación escolar,1
deformidad en región torácico con imposibilidad funcional,3
certificado médico para documentación escolar,1
Revisión de crónico en tobillo sin complicaciones,2
Seguimiento de programado en hombro en fase de recuperación,2
dolor agudo en región lumbar con limitación severa,3
dolor agudo en región miembro inferior con limitación severa,3
Revisión de postoperatorio en columna en fase de recuperación,2
Valoración de consolidado en cadera sin complicaciones,2
deformidad en región abdominal con limitación severa,3
deformidad en región abdominal con imposibilidad funcional,3
evaluación postural para actividad deportiva,1
consulta administrativa para actividad deportiva,1
sangrado activo en región abdominal con limitación severa,3
renovación de receta para aptitud laboral,1
dolor agudo en región abdominal con signos inflamatorios,3
consulta administrativa para documentación escolar,1
edema persistente en región torácico con signos inflamatorios,3
Revisión de post-traumático en tobillo sin complicaciones,2
deformidad en región abdominal con imposibilidad funcional,3
deformidad en región abdominal con limitación severa,3
edema persistente en región abdominal con limitación severa,3
Valoración de crónico en hombro sin complicaciones,2
dolor agudo en región lumbar con limitación severa,3
edema persistente en región lumbar con imposibilidad funcional,3
evaluación postural para aptitud laboral,1
Valoración de crónico en rodilla sin complicaciones,2
Revisión de crónico en columna en fase de recuperación,2
dolor agudo en región torácico con signos inflamatorios,3
Seguimiento de programado en cadera en fase de recuperación,2
deformidad en región miembro inferior con signos inflamatorios,3
consulta administrativa para aptitud laboral,1
Revisión de programado en hombro en fase de recuperación,2
consulta administrativa para actividad deportiva,1
certificado médico para actividad deportiva,1
Valoración de crónico en tobillo sin complicaciones,2
dolor agudo en región lumbar con imposibilidad funcional,3
Revisión de post-traumático en columna sin complicaciones,2
Revisión de consolidado en tobillo sin complicaciones,2
evaluación postural para aptitud laboral,1
evaluación postural para aptitud laboral,1
Control de post-traumático en cadera sin complicaciones,2
consulta administrativa para aptitud laboral,1
sangrado activo en región lumbar con limitación severa,3
edema persistente en región abdominal con limitación severa,3
renovación de receta para actividad deportiva,1
deformidad en región abdominal con limitación severa,3
consulta administrativa para aptitud laboral,1
renovación de receta para aptitud laboral,1
certificado médico para actividad deportiva,1
deformidad en región torácico con limitación severa,3
Revisión de post-traumático en cadera en fase de recuperación,2
Control de post-traumático en tobillo en fase de recuperación,2
Revisión de crónico en cadera sin complicaciones,2
edema persistente en región abdominal con signos inflamatorios,3
consulta administrativa para aptitud laboral,1
certificado médico para actividad deportiva,1
dolor agudo en región miembro inferior con signos inflamatorios,3
evaluación postural para documentación escolar,1
dolor agudo en región lumbar con limitación severa,3
consulta administrativa para aptitud laboral,1
renovación de receta para documentación escolar,1
evaluación postural para aptitud laboral,1
edema persistente en región torácico con limitación severa,3
